iconUrl,symbol,name,sparkline
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0610466476397518400000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0611381213780366600000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0607896933259633870000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0609199429717442260000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0612428759467862110000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0615155681623210510000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0612071675420218530000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0608279586415115110000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0609108844808752990000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0610365478218940550000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0609753140753216240000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0611005716304152030000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0615121365386885980000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0613495479817091490000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0612401349232772160000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0618844604741866170000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0624135698199987230000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0626956863491231510000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0629718420361052560000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0626435994327648380000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0615588929017631390000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0611552039536206880000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0602200217315692140000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0600262632134221630000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0603302053623111630000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.6125553345770063190000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.4977509317186181090000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.5137218532047298830000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.5689534273605757120000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.4140050729427134860000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.3464292683063562180000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.4253991354018887760000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.4683006693215133630000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.3911299779088916130000
https://cdn.coinranking.com/1uJ_RVrmC/dfinity-icp.png,ICP,Internet Computer (DFINITY),17.3390113196204157120000
